,ts,x,heading,y,rssi_3,rssi_4,rssi_5,rssi_8,rssi_10,rssi_11
1530,1.6279979645603333e+18,-4.016920837310599,-32.75595235696652,0.016960009358687956,-54.55489532554687,-67.0,-57.0,-48.0,-64.47128104620114,-47.37137961520602
1531,1.6279979648936668e+18,-4.016920837310599,-32.75595235696652,0.016960009358687956,-53.816989475978865,-67.0,-63.55489532554688,-46.37137961520602,-61.47128104620114,-65.81698947597887
1532,1.627997965227e+18,-3.979224690350187,-32.742849006013415,-0.12091908831075016,-51.55489532554688,-64.0,-57.47128104620114,-51.0,-56.49533053638751,-55.47128104620114
1533,1.6279979655603333e+18,-3.9345691047109943,-32.727852901858604,-0.2729563265188671,,-67.0,,-48.0,-60.88587392869641,
1534,1.6279979658936668e+18,-3.9345691047109943,-32.727852901858604,-0.2729563265188671,-50.084125429438764,-64.02467948506366,-63.88587392869641,-46.0,-59.74457620067879,-51.37137961520602
1535,1.627997966227e+18,-3.903803466895642,-32.71532610317999,-0.360871794260601,-51.840757063844485,-62.0,-56.816989475978865,-50.34792108990359,-60.88587392869641,-56.816989475978865
1536,1.6279979665603333e+18,-3.8992338960593997,-32.736577866706725,-0.363851180990442,-46.0,-75.08412542943876,-56.0,-47.570074477616856,,
1537,1.6279979668936668e+18,-3.8992338960593997,-32.736577866706725,-0.363851180990442,-48.0,-66.75575955874767,-58.88587392869641,-48.0,-61.49533053638751,-58.55489532554688
1538,1.627997967227e+18,-3.892609704585365,-32.974423444494754,-0.36578621184321863,-46.55489532554688,-72.37455119080423,-61.156321331074764,-49.24402496388474,-63.816989475978865,-50.90255770152024
1539,1.6279979675603333e+18,-3.892609704585365,-32.974423444494754,-0.36578621184321863,-55.20149560566935,-70.06709773026256,-57.17667146632201,-49.48304604390742,-62.924295089030494,-46.596373105057566
1540,1.6279979678936668e+18,-3.897849571044701,-33.595544486240435,-0.33437158879780726,-50.88587392869641,-67.0,-56.596373105057566,-50.37137961520601,-65.88587392869641,-52.66307691779768
1541,1.627997968227e+18,-3.8983548674391724,-34.21655617044828,-0.32113326110752205,-55.663181874397345,-78.0,-56.955966814439364,-49.0,-62.68427091407204,-47.495330536387506
1542,1.6279979685603333e+18,-3.8983548674391724,-34.21655617044828,-0.32113326110752205,-51.816989475978865,-70.75847914203473,-52.98592846862847,-52.698253988752285,-64.24595133227496,-50.03707201955286
1543,1.6279979688936668e+18,-3.886773110969306,-34.888719452315755,-0.28696593312271934,-50.0,-70.24595133227496,-68.0,-54.0,-64.37137961520602,-53.380333899765176
1544,1.627997969227e+18,-3.8830575546413675,-35.53853224243751,-0.2524638061223071,-51.816989475978865,-64.46405268421363,-66.0,,-63.495330536387506,-44.49533053638751
1545,1.6279979695603333e+18,-3.8830575546413675,-35.53853224243751,-0.2524638061223071,-56.37137961520602,-64.72679135931693,-57.924499964339454,,-69.47128104620114,-43.744576200678786
1546,1.6279979698936668e+18,-3.9231044526653474,-35.76222663665572,-0.13957812700726363,-62.245951332274956,-60.0,-57.18119762316828,,-65.81698947597887,-47.67834375675554
1547,1.627997970227e+18,-3.9634586039550377,-35.89662557060767,0.04396072994594963,-57.47128104620114,-68.0,-59.88587392869641,-45.0,-62.5858731877187,-42.00647960141006
1548,1.6279979705603333e+18,-3.9634586039550377,-35.89662557060767,0.04396072994594963,-54.84512590496779,-75.52724374661273,-60.86780335998617,-44.640468339958204,-61.67834375675554,-41.902557701520244
1549,1.6279979708936668e+18,-3.9807552555020944,-35.95781598061007,0.21149083870271568,-56.22020246011415,-67.79551663838339,-61.0,-45.26859135615156,-72.0,-41.95596681443935
1550,1.627997971227e+18,-4.000788386461238,-35.9691456087214,0.37295653947259066,-53.55489532554688,-64.0,-63.88587392869641,-45.0,-60.00164327581188,-50.924499964339454
1551,1.6279979715603333e+18,-4.000788386461238,-35.9691456087214,0.37295653947259066,-52.88587392869641,-62.16241031110505,-67.88587392869641,-47.640468339958204,-58.875090735559425,-46.87509073555943
1552,1.6279979718936668e+18,-4.021207485979982,-35.970179983346775,0.5314884950790347,-57.88587392869641,-63.0,-59.59637310505756,-50.0,-62.744576200678786,-44.96708621881339
1553,1.627997972227e+18,-4.043906315779652,-35.976746552624576,0.6779049405242062,-50.47128104620114,-59.86459584399115,-60.47128104620114,-43.0,-70.37137961520601,-51.55489532554688
1554,1.6279979725603333e+18,-4.043906315779652,-35.976746552624576,0.6779049405242062,-60.59637310505756,-65.0,-53.22020246011414,-45.0,-61.0,-47.96708621881338
1555,1.6279979728936668e+18,-4.065242573991509,-35.975818275392804,0.8280536579124198,-53.744576200678786,-61.01533385499082,-54.840757063844485,-47.0,-61.797915937497265,-56.0
1556,1.627997973227e+18,-4.065242573991509,-35.975818275392804,0.8280536579124198,-55.24595133227496,-59.0,-58.744576200678786,-45.0,-64.24595133227496,-46.87509073555943
1557,1.6279979735603333e+18,-4.08912321580595,-35.978265388633076,0.9808661478537799,-50.47128104620114,-62.46490104539006,-56.816989475978865,-46.245951332274956,,-50.495330536387506
1558,1.6279979738936668e+18,-4.110876273457294,-35.98184038419824,1.1152509974070663,-57.37137961520602,-72.0,-53.22020246011414,-44.308438357056815,-61.67834375675554,-44.988588034998365
1559,1.627997974227e+18,-4.134786708075077,-35.98126663712846,1.2802899687079543,-49.94200867351529,-62.0,-53.744576200678786,-43.0,-72.49533053638751,-47.67834375675554
1560,1.6279979745603333e+18,-4.134786708075077,-35.98126663712846,1.2802899687079543,-50.37137961520601,-65.31287254336841,-48.90255770152024,-41.46405268421363,-67.03707201955285,
1561,1.6279979748936668e+18,-4.1579711822813055,-35.98242803330666,1.4444222303667584,-51.88587392869641,-67.38834888915399,-55.79791593749726,-44.226450337997385,-65.92449996433945,-46.955966814439364
